id,release_date,movie,production_budget,domestic_gross,profit,profitable,unprofitable,domestic_profit_margin
52,2012-02-24,Act of Valor,12000000,70012847,58012847,True,False,82.8602884839121
38,2018-08-15,Crazy Rich Asians,30000000,174532921,144532921,True,False,82.81126573249755
35,2015-08-14,Straight Outta Compton,28000000,161197785,133197785,True,False,82.6300342774561
99,2016-07-29,Bad Moms,20000000,113257297,93257297,True,False,82.34109366039347
60,2015-03-20,Do You Believe?,2300000,12985600,10685600,True,False,82.28807294233611
30,2016-11-18,Manchester by the Sea,8500000,47695371,39195371,True,False,82.1785640371683
100,2019-01-18,Glass,20000000,111035005,91035005,True,False,81.9876623592713
21,2015-06-19,The Overnight,200000,1109808,909808,True,False,81.97886481265228
72,2014-04-11,Oculus,5000000,27695246,22695246,True,False,81.94636003594263
54,2018-07-06,Sorry to Bother You,3200000,17493096,14293096,True,False,81.70706889163588
73,2013-11-01,Dallas Buyers Club,5000000,27298285,22298285,True,False,81.68383105385558
74,2015-08-26,No Escape,5000000,27288872,22288872,True,False,81.67751309031755
55,2012-02-03,Chronicle,12000000,64575175,52575175,True,False,81.4170073871267
67,2014-01-17,Ride Along,25000000,134202565,109202565,True,False,81.37144398097011
35,2012-03-23,October Baby,1000000,5355847,4355847,True,False,81.32881689861566
77,2012-06-08,Safety Not Guaranteed,750000,4010957,3260957,True,False,81.30122063138548
49,2018-07-04,The First Purge,13000000,69488745,56488745,True,False,81.2919343988728
36,2014-09-12,The Skeleton Twins,1000000,5284309,4284309,True,False,81.07604986763644
51,2015-06-05,Insidious Chapter 3,10000000,52218558,42218558,True,False,80.84972013206493
76,2015-02-27,The Lazarus Effect,5000000,25801570,20801570,True,False,80.62133428314634
28,2016-08-12,Sausage Party,19000000,97670358,78670358,True,False,80.54681032294363
70,2018-03-23,Unsane,1500000,7690044,6190044,True,False,80.49425985078888
38,2012-03-23,The Hunger Games,80000000,408010692,328010692,True,False,80.39267069011025
97,2013-02-22,Dark Skies,3500000,17418667,13918667,True,False,79.9066139791294
37,2013-06-14,20 Feet From Stardom,1000000,4946250,3946250,True,False,79.78266363406621
10,2012-07-20,Burn,225000,1109276,884276,True,False,79.71649977102182
26,2016-07-08,The Secret Life of Pets,75000000,368384330,293384330,True,False,79.64082782782862
53,2017-11-03,Lady Bird,10000000,48958273,38958273,True,False,79.57444291386668
79,2018-03-09,The Strangers: Prey at Night,5000000,24431472,19431472,True,False,79.53459374040173
69,2014-08-13,Letâs Be Cops,17000000,82390774,65390774,True,False,79.36662180161093
22,2013-07-03,Despicable Me 2,76000000,368065385,292065385,True,False,79.3514948437762
38,2016-03-18,Krisha,30000,144822,114822,True,False,79.28491527530348
9,2013-01-18,Mama,15000000,71628180,56628180,True,False,79.05852138083084
50,2016-03-16,Miracles from Heaven,13000000,61705123,48705123,True,False,78.93205722967281
98,2018-01-19,Forever My Girl,3500000,16376066,12876066,True,False,78.6273455419635
55,2012-05-04,The Best Exotic Marigold Hotel,10000000,46383639,36383639,True,False,78.44067387640715
100,2016-04-08,Hardcore Henry,2000000,9252038,7252038,True,False,78.38314109820993
73,2014-08-22,If I Stay,11000000,50474843,39474843,True,False,78.2069653985848
73,2012-09-21,House at the End of the Street,6900000,31611916,24711916,True,False,78.17278775509843
58,2012-03-02,Project X,12000000,54731865,42731865,True,False,78.07492947664034
66,2015-07-01,Magic Mike XXL,14500000,66013057,51513057,True,False,78.03464850900633
59,2017-11-10,"Three Billboards Outside Ebbing, Missouri",12000000,54513740,42513740,True,False,77.98720102491592
73,2015-07-10,Minions,74000000,336045770,262045770,True,False,77.97919015615045
38,2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,314508916,True,False,77.75079944096956
18,2013-09-27,Don Jon,5500000,24477704,18977704,True,False,77.53057231184755
56,2018-06-08,Hereditary,10000000,44069456,34069456,True,False,77.30854676309143
72,2019-05-03,The Intruder,8000000,35095904,27095904,True,False,77.20531717889358
84,2012-06-29,Ted,50000000,218665740,168665740,True,False,77.13404944002659
89,2014-04-18,A Haunted House 2,4000000,17329487,13329487,True,False,76.91795492849846
60,2016-11-25,Lion,12000000,51739495,39739495,True,False,76.80688611282348
83,2013-07-05,The Way Way Back,5000000,21502690,16502690,True,False,76.74709536341732
44,2014-02-07,The Lego Movie,60000000,257784718,197784718,True,False,76.72476457661854
84,2014-08-29,"As Above, So Below",5000000,21222315,16222315,True,False,76.43989357428725
54,2016-06-24,The Shallows,13000000,55121623,42121623,True,False,76.4157887731281
3,2014-07-02,Tammy,20000000,84525432,64525432,True,False,76.33848236350924
61,2018-05-04,Overboard,12000000,50316123,38316123,True,False,76.15078570342155
42,2012-02-10,The Vow,30000000,125014030,95014030,True,False,76.0026934576863
85,2016-04-01,Godâs Not Dead 2,5000000,20773069,15773069,True,False,75.93037408194235
78,2015-02-13,Fifty Shades of Grey,40000000,166167230,126167230,True,False,75.92786495869251
73,2013-11-15,The Best Man Holiday,17000000,70525195,53525195,True,False,75.89513931865059
36,2017-07-21,Girls Trip,28000000,115108515,87108515,True,False,75.67512707465647
57,2018-03-16,"Love, Simon",10000000,40826341,30826341,True,False,75.50600971074043
90,2013-08-07,We're the Millers,37000000,150394119,113394119,True,False,75.39797417211507
14,2013-03-15,The Call,12800000,51872378,39072378,True,False,75.32405396953268
33,2015-02-20,The DUFF,8500000,34030343,25530343,True,False,75.02229113588423
89,2018-06-01,Upgrade,3000000,11977130,8977130,True,False,74.95226318825962
44,2014-09-12,No Good Deed,13200000,52543632,39343632,True,False,74.87802137469293
43,2014-10-10,Whiplash,3300000,13092006,9792006,True,False,74.79377873795659
84,2018-11-02,Bohemian Rhapsody,55000000,216303339,161303339,True,False,74.57274573093852
75,2016-10-21,Ouija: Origin of Evil,9000000,35144505,26144505,True,False,74.39144469384333
45,2013-08-16,Lee Daniels' The Butler,30000000,116632095,86632095,True,False,74.27809214950653
32,2013-02-08,Identity Thief,35000000,134506920,99506920,True,False,73.97903394115336
85,2014-06-13,22 Jump Street,50000000,191719337,141719337,True,False,73.92021024984037
75,2012-09-28,Pitch Perfect,17000000,65001093,48001093,True,False,73.84659362574104
90,2016-02-19,Race,5000000,19115191,14115191,True,False,73.84279340970227
34,2014-10-31,Nightcrawler,8500000,32381218,23881218,True,False,73.75021532543958
61,2017-10-27,Jigsaw,10000000,38052832,28052832,True,False,73.72074698671574
90,2013-03-01,The Last Exorcism Part II,4000000,15179303,11179303,True,False,73.64832891207192
80,2013-12-13,American Hustle,40000000,150117807,110117807,True,False,73.3542603643284
58,2014-02-14,About Last Night,13000000,48637684,35637684,True,False,73.27175364682249
96,2012-03-23,Serbuan maut,1100000,4105123,3005123,True,False,73.20421336948978
92,2015-01-16,Still Alice,5000000,18656400,13656400,True,False,73.19954546429108
35,2013-06-28,The Heat,43000000,159581587,116581587,True,False,73.05453542080642
71,2018-11-16,Green Book,23000000,85080171,62080171,True,False,72.96667398564584
54,2012-08-03,Celeste and Jesse Forever,840000,3103407,2263407,True,False,72.93297334187878
75,2015-09-02,A Walk in the Woods,8000000,29499394,21499394,True,False,72.88079883946091
9,2016-10-21,Tyler Perryâs Boo! A Madea Halloween,20000000,73206343,53206343,True,False,72.67996299173147
18,2012-02-03,The Woman in Black,15000000,54333290,39333290,True,False,72.39261601865081
28,2018-11-09,Dr. Seussâ The Grinch,75000000,270620950,195620950,True,False,72.28595938341064
