id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin,cost_revenue_ratio_in_%
94,2005-12-25,Wolf Creek,1100000,16186348,29005064,27905064,0.9620755879042363,0.9320414957098414,1471.4861818181819
22,2016-03-11,"Hello, My Name is Doris",1000000,14444999,14662703,13662703,0.9317997507008087,0.9307718885961848,1444.4999
54,2016-03-11,10 Cloverfield Lane,5000000,72082999,108286422,103286422,0.953826159294468,0.9306355164273895,1441.65998
91,2005-10-07,Waiting...,1125000,16124543,18673274,17548274,0.9397534679778169,0.930230580798476,1433.2927111111112
65,2003-09-12,Cabin Fever,1500000,21158188,30351664,28851664,0.9505793158490421,0.9291054602596404,1410.5458666666668
74,2011-10-28,Like Crazy,250000,3395391,3728400,3478400,0.9329471086793263,0.9263707773272651,1358.1564
55,2016-07-22,Lights Out,5000000,67268835,148806510,143806510,0.9663993194921379,0.9256713751620643,1345.3766999999998
13,2012-07-13,2016: Obamaâs America,2500000,33349941,33349941,30849941,0.9250373486417862,0.9250373486417862,1333.99764
73,2012-06-15,Your Sister's Sister,120000,1597486,3090593,2970593,0.961172499905358,0.9248819707966142,1331.2383333333332
56,2015-09-11,The Visit,5000000,65206105,98677816,93677816,0.9493300500286711,0.923320063359098,1304.1221
84,2014-10-03,Annabelle,6500000,84273813,256862920,250362920,0.9746946737193519,0.922870465111149,1296.5202
14,2013-07-03,Kevin Hart: Let Me Explain,2500000,32244051,32327255,29827255,0.9226658743527714,0.9224663178953538,1289.7620399999998
57,2002-10-25,Jackass: The Movie,5000000,64282312,79282312,74282312,0.9369342306768249,0.9222181056586763,1285.64624
66,2007-05-02,Waitress,1500000,19097550,22217183,20717183,0.932484689890703,0.921455893557027,1273.17
18,2011-02-25,The Grace Card,200000,2430735,2430735,2230735,0.9177203603025423,0.9177203603025422,1215.3675
90,2018-03-16,I Can Only Imagine,7000000,83482352,85604221,78604221,0.9182283312875424,0.9161499426848922,1192.6050285714286
91,2018-04-13,Truth or Dare,3500000,41411015,95127344,91627344,0.9632072141108028,0.9154814244470946,1183.171857142857
34,2003-10-03,The Station Agent,500000,5801558,9470209,8970209,0.9472028547627618,0.9138162541855136,1160.3116
60,2002-02-22,Monsoon Wedding,1200000,13876974,27025600,25825600,0.9555976555562133,0.9135258162190114,1156.4145
79,2003-09-12,Lost in Translation,4000000,44585453,117085297,113085297,0.9658368719003206,0.9102846392521794,1114.636325
58,2017-10-13,Happy Death Day,5000000,55683845,125010260,120010260,0.9600032829305369,0.91020735008511,1113.6769
66,2018-04-06,A Quiet Place,17000000,188024361,334522294,317522294,0.9491812644331561,0.9095861838881611,1106.0256529411765
38,2004-10-22,The Grudge,10000000,110359362,187281115,177281115,0.9466043332772768,0.9093869353829719,1103.59362
59,2012-10-19,Paranormal Activity 4,5000000,53900335,142817992,137817992,0.9649904054105451,0.9072361980681567,1078.0067000000001
15,2004-07-28,Garden State,2500000,26782316,36028802,33528802,0.9306110705540527,0.9066548240264211,1071.2926400000001
43,2014-06-06,The Fault in Our Stars,12000000,124872350,307166834,295166834,0.9609332822696607,0.9039018645841133,1040.6029166666667
75,2011-09-09,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,6962436,0.9027544604584078,0.9026787479971287,1027.5248
60,2014-10-24,Ouija,5000000,50856010,103300632,98300632,0.9515975855791473,0.9016832032241617,1017.1202
39,2016-04-01,Meet the Blacks,900000,9097072,9097072,8197072,0.901067068612846,0.901067068612846,1010.7857777777778
74,2008-11-12,Slumdog Millionaire,14000000,141330703,384530440,370530440,0.9635919590657114,0.900941552664604,1009.5050214285715
23,2005-09-16,Cry Wolf,1000000,10047674,15943081,14943081,0.9372768663723153,0.9004744779737082,1004.7674000000001
85,2008-02-01,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,65281781,70712099,64212099,0.9080779655543815,0.9004316380400222,1004.3350923076923
7,2006-01-06,Hostel,4800000,47326473,82241110,77441110,0.9416350290019188,0.8985768493671608,985.9681875
25,2010-12-29,Blue Valentine,1000000,9737892,16566240,15566240,0.9396362723225065,0.8973083702304359,973.7892
24,2017-09-08,It,35000000,327481748,697457969,662457969,0.9498177645741404,0.8931238146438623,935.6621371428572
97,2010-11-26,The Kingâs Speech,15000000,138797449,430821168,415821168,0.9651827692923389,0.891928849499244,925.3163266666667
16,2005-02-25,Diary of a Mad Black Woman,5500000,50406346,50458356,44958356,0.8909992232010095,0.8908867546161747,916.4790181818182
26,2006-01-20,Transamerica,1000000,9015303,16553163,15553163,0.9395885849731559,0.8890774941230484,901.5302999999999
81,2015-01-23,The Boy Next Door,4000000,36006065,53401938,49401938,0.9250963513721169,0.8889076048715682,900.151625
69,2003-10-17,The Texas Chainsaw Massacre,9000000,80571655,107967319,98967319,0.9166414422127125,0.8882981862542106,895.2406111111111
39,2016-08-26,Donât Breathe,10000000,89217875,158973685,148973685,0.9370965075131774,0.8879148376936796,892.17875
62,2013-08-30,No se Aceptan Devoluciones,5000000,44467206,100486616,95486616,0.9502421297578575,0.8875575856958496,889.34412
59,2011-12-30,Jodaeiye Nader az Simin,800000,7098492,24426169,23626169,0.9672482410156091,0.8873000068183496,887.3115
29,2018-07-20,Unfriended: Dark Web,1000000,8866745,16434588,15434588,0.9391527186443615,0.8872190414859117,886.6745
63,2015-08-07,The Gift,5000000,43787265,58978477,53978477,0.9152233110393815,0.8858115481750231,875.7453
88,2019-03-22,Us,20000000,175006930,254210310,234210310,0.9213249848127719,0.8857188112493602,875.0346499999999
64,2017-06-23,The Big Sick,5000000,42872467,53972860,48972860,0.907360847655655,0.8833750341448744,857.44934
68,2010-12-10,The Fighter,11000000,93617009,129262388,118262388,0.9149017732830373,0.8824999845914753,851.0637181818181
43,2003-10-17,Pieces of April,300000,2528664,3571253,3271253,0.9159958703569867,0.8813602756238077,842.8879999999999
64,2014-05-09,Neighbors,18000000,150086800,270944428,252944428,0.9335657125969757,0.8800693998406256,833.8155555555555
69,2008-10-24,High School Musical 3: Senior Year,11000000,90559416,274392880,263392880,0.959911496245821,0.8785327855912852,823.2674181818181
46,2010-12-03,Black Swan,13000000,106954678,331266710,318266710,0.9607566966206775,0.8784531893032299,822.7282923076922
41,2006-10-27,Saw III,10000000,80238724,163876815,153876815,0.9389785553252301,0.8753718964922722,802.38724
71,2014-07-18,The Purge: Anarchy,9000000,71562550,111534881,102534881,0.9193077544952059,0.8742358957303785,795.1394444444444
86,2005-07-22,Hustle & Flow,2800000,22202809,23591783,20791783,0.8813146085651942,0.8738898307867261,792.9574642857143
25,2009-06-05,The Hangover,35000000,277322503,465764086,430764086,0.9248546612930564,0.873793148333152,792.3500085714286
42,2016-07-01,The Purge: Election Year,10000000,79042440,118514727,108514727,0.9156223006782948,0.8734856869297051,790.4244
84,2001-12-26,Monster's Ball,4000000,31273922,43766463,39766463,0.9086058199402588,0.8720979095618387,781.84805
19,2018-05-11,Breaking In,6000000,46840590,51411620,45411620,0.8832948660244512,0.8719059687335279,780.6765
45,2012-04-20,Think Like a Man,12000000,91547205,113373764,101373764,0.8941554061837445,0.8689200833602729,762.893375
46,2014-04-16,Heaven is for Real,12000000,91386097,100916299,88916299,0.8810895750348513,0.8686889976272868,761.5508083333333
79,2005-05-06,Crash,7303082,55334418,101173038,93869956,0.927815926610803,0.8680191775035928,757.6858372944463
92,2016-12-09,La La Land,20000000,151101803,426351163,406351163,0.9530903120815458,0.8676389056720918,755.509015
35,2010-01-22,To Save a Life,500000,3777210,3824868,3324868,0.869276534510472,0.8676271639649371,755.442
48,2011-07-22,Another Earth,175000,1321194,2102779,1927779,0.9167767987030496,0.8675440548473577,754.9680000000001
66,2006-07-26,Little Miss Sunshine,8000000,59891098,100642353,92642353,0.9205106025293347,0.8664242221773927,748.638725
40,2008-03-19,La misma luna,1700000,12590147,23271741,21571741,0.9269500292221369,0.8649737767160304,740.5968823529412
76,2007-04-13,Aqua Teen Hunger Force Colon Movie Film for Theaters,750000,5520368,5520368,4770368,0.8641394921497988,0.8641394921497987,736.0490666666666
94,2015-03-13,It Follows,2000000,14674077,23250755,21250755,0.9139812879194676,0.8637052265706389,733.70385
