title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
The Boss Baby,2017,175.0,353.0,528.0
Dunkirk,2017,188.0,337.2,525.2
Kung Fu Panda 3,2016,143.5,377.6,521.1
Ant-Man,2015,180.2,339.1,519.3
Dr. Seuss' The Grinch (2018),2018,270.6,241.0,511.6
Rio 2,2014,131.5,368.6,500.1
How to Train Your Dragon,2010,217.6,277.3,494.9
Teenage Mutant Ninja Turtles (2014),2014,191.2,302.1,493.3
Oz The Great and Powerful,2013,234.9,258.399999,493.299999
Clash of the Titans (2010),2010,163.2,330.0,493.2
War for the Planet of the Apes,2017,146.9,343.8,490.7
Rio,2011,143.6,341.0,484.6
Rise of the Planet of the Apes,2011,176.8,305.0,481.8
Hotel Transylvania 2,2015,169.7,305.1,474.8
San Andreas,2015,155.2,318.8,474.0
Wreck-It Ralph,2012,189.4,281.8,471.2
The LEGO Movie,2014,257.8,211.4,469.2
Bumblebee,2018,127.2,340.8,468.0
Star Trek Into Darkness,2013,228.8,238.6,467.4
Lucy,2014,126.7,336.7,463.4
Thor,2011,181.0,268.3,449.3
La La Land,2016,151.1,295.0,446.1
Les Miserables (2012),2012,148.8,293.0,441.8
Terminator: Genisys,2015,89.8,350.8,440.6
The Greatest Showman,2017,174.3,260.7,435.0
A Star is Born (2018),2018,215.3,218.9,434.2
Warcraft,2016,47.4,386.3,433.7
Rampage (2018),2018,101.0,327.0,428.0
The Intouchables (U.S.-only),2012,10.2,416.4,426.6
Django Unchained,2012,162.8,262.6,425.4
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,104.4,311.3,415.7
Jason Bourne,2016,162.4,253.1,415.5
The Wolverine,2013,132.6,282.3,414.9
Kingsman: The Secret Service,2015,128.3,286.1,414.4
Pacific Rim,2013,101.8,309.2,411.0
Kingsman: The Golden Circle,2017,100.2,310.7,410.9
The King's Speech,2010,135.5,275.4,410.9
The Mummy (2017),2017,80.2,329.0,409.2
Ice Age: Collision Course,2016,64.099999,344.5,408.599999
Prometheus,2012,126.5,276.9,403.4
Tron Legacy,2010,172.1,228.0,400.1
Snow White and the Huntsman,2012,155.3,241.3,396.6
Mamma Mia! Here We Go Again,2018,120.6,274.4,395.0
Solo: A Star Wars Story,2018,213.8,179.2,393.0
The Wolf of Wall Street,2013,116.9,275.1,392.0
Independence Day: Resurgence,2016,103.1,286.5,389.6
Home (2015),2015,177.4,208.6,386.0
Monster Hunt,2016,0.0328,385.3,385.3328
Cars 3,2017,152.9,231.0,383.9
Fifty Shades Darker,2017,114.6,267.0,381.6
Mad Max: Fury Road,2015,153.6,224.8,378.4
Taken 2,2012,139.9,236.3,376.2
G.I. Joe: Retaliation,2013,122.5,253.2,375.7
Spider-Man: Into The Spider-Verse,2018,190.2,185.3,375.5
The Adventures of Tintin,2011,77.6,296.4,374.0
Penguins of Madagascar,2014,83.4,289.7,373.1
Fifty Shades Freed,2018,100.4,271.5,371.9
Captain America: The First Avenger,2011,176.7,193.9,370.6
Edge of Tomorrow,2014,100.2,270.3,370.5
Gone Girl,2014,167.8,201.6,369.4
The Nun,2018,117.5,248.1,365.6
Night at the Museum: Secret of the Tomb,2014,113.7,249.5,363.2
Noah,2014,101.2,261.399999,362.599999
The Hangover Part III,2013,112.2,249.8,362.0
Monster Hunt 2,2018,0.706,361.0,361.706
The Karate Kid,2010,176.6,182.5,359.1
Hotel Transylvania,2012,148.3,210.1,358.4
Your Name.,2017,5.0,353.0,358.0
The Legend of Tarzan,2016,126.6,230.1,356.7
X-Men: First Class,2011,146.4,207.2,353.6
The Great Gatsby (2013),2013,144.8,208.8,353.6
Furious 7,2015,353.0,0.001163,353.001163
Murder on the Orient Express (2017),2017,102.8,250.0,352.8
The Angry Birds Movie,2016,107.5,244.8,352.3
Now You See Me,2013,117.7,234.0,351.7
Peter Rabbit,2018,115.3,236.0,351.3
Mary Poppins Returns,2018,172.0,177.6,349.6
Dr. Seuss' The Lorax,2012,214.0,134.8,348.8
The Maze Runner,2014,102.4,245.9,348.3
The Smurfs 2,2013,71.0,276.5,347.5
Trolls,2016,153.7,193.2,346.9
xXx: The Return of Xander Cage,2017,44.9,301.2,346.1
Titanic 3D,2012,57.9,285.7,343.6
Star Trek Beyond,2016,158.8,184.6,343.4
Alvin and the Chipmunks: Chipwrecked,2011,133.1,209.6,342.7
A Quiet Place,2018,188.0,152.9,340.9
300: Rise of An Empire,2014,106.6,231.0,337.6
Prince of Persia: The Sands of Time,2010,90.8,245.6,336.4
Journey 2: The Mysterious Island,2012,103.9,231.4,335.3
The Great Wall,2017,45.5,289.4,334.9
Now You See Me 2,2016,65.099999,269.8,334.899999
The Good Dinosaur,2015,123.1,209.1,332.2
22 Jump Street,2014,191.7,139.6,331.3
Black Swan,2010,107.0,222.4,329.4
Taken 3,2015,89.3,237.2,326.5
The SpongeBob Movie: Sponge Out of Water,2015,163.0,162.2,325.2
Megamind,2010,148.4,173.5,321.9
Robin Hood,2010,105.3,216.4,321.7
The Conjuring 2,2016,102.5,217.9,320.4
Green Book,2018,85.1,234.7,319.8
The Last Airbender,2010,131.8,187.9,319.7
The Conjuring,2013,137.4,182.1,319.5
The Expendables 2,2012,85.0,229.9,314.9
Maze Runner: The Scorch Trials,2015,81.7,230.6,312.3
Resident Evil: The Final Chapter,2017,26.8,285.4,312.2
The LEGO Batman Movie,2017,175.8,136.2,312.0
Little Fockers,2010,148.4,162.2,310.6
The Fault in our Stars,2014,124.9,182.3,307.2
Rise of the Guardians,2012,103.4,203.5,306.9
Annabelle: Creation,2017,102.1,204.4,306.5
Wonder,2017,132.4,173.5,305.9
Wrath of the Titans,2012,83.7,221.6,305.3
Skyscraper,2018,68.4,236.4,304.8
A Good Day to Die Hard,2013,67.3,237.3,304.6
Passengers (2016),2016,100.0,203.1,303.1
Battleship,2012,65.4,237.6,303.0
Dangal,2016,12.4,290.5,302.9
Resident Evil: Afterlife,2010,60.1,240.1,300.2
Alice Through the Looking Glass,2016,77.0,222.4,299.4
Real Steel,2011,85.5,213.8,299.3
Ocean's 8,2018,140.2,157.5,297.7
The Divergent Series: Insurgent,2015,130.199999,167.1,297.299999
Miss Peregrine's Home for Peculiar Children,2016,87.2,209.2,296.4
Ferdinand,2017,84.4,211.7,296.1
Shutter Island,2010,128.0,166.8,294.8
Salt,2010,118.3,175.2,293.5
Pacific Rim Uprising,2018,59.9,231.1,291.0
Divergent,2014,150.9,137.9,288.8
Bridesmaids,2011,169.1,119.3,288.4
Sex and the City 2,2010,95.3,193.0,288.3
Maze Runner: The Death Cure,2018,58.0,230.2,288.2
Pitch Perfect 2,2015,184.3,103.2,287.5
Oblivion,2013,89.1,197.1,286.2
Elysium,2013,93.1,193.1,286.2
John Carter,2012,73.1,211.1,284.2
Turbo,2013,83.0,199.5,282.5
Split,2017,138.3,140.2,278.5
The Tourist,2010,67.6,210.7,278.3
The Bourne Legacy,2012,113.2,162.9,276.1
Mr. Peabody & Sherman,2014,111.5,164.2,275.7
Lincoln,2012,182.2,93.1,275.3
Tomb Raider,2018,58.3,216.4,274.7
The Expendables,2010,103.1,171.4,274.5
Cloudy with a Chance of Meatballs 2,2013,119.8,154.5,274.3
Grown Ups,2010,162.0,109.4,271.4
Neighbors,2014,150.2,120.5,270.7
We're the Millers,2013,150.4,119.6,270.0
Epic,2013,107.5,160.9,268.4
Exodus: Gods and Kings,2014,65.0,203.2,268.2
Paddington,2015,76.3,191.8,268.1
Knight & Day,2010,76.4,185.5,261.9
The Lone Ranger,2013,89.3,171.2,260.5
Super 8,2011,127.0,133.1,260.1
Blade Runner 2049,2017,92.1,167.2,259.3
Mojin: The Lost Legend,2015,1.2,258.1,259.3
Annabelle,2014,84.3,172.8,257.1
Lost in Hong Kong,2015,1.3,255.0,256.3
Get Out,2017,176.0,79.4,255.4
Halloween (2018),2018,159.3,96.1,255.4
Baahubali 2: The Conclusion,2017,20.2,234.0,254.2
Kung Fu Yoga,2017,0.363,253.8,254.163
True Grit,2010,171.2,81.0,252.2
American Hustle,2013,150.1,101.1,251.2
Grown Ups 2,2013,133.699999,113.3,246.999999
Journey to the West: The Demons Strike Back,2017,0.88,245.7,246.58
The Peanuts Movie,2015,130.199999,116.1,246.299999
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,82.1,163.6,245.7
Rango,2011,123.5,122.2,245.7
Dark Shadows,2012,79.7,165.8,245.5
Pixels,2015,78.7,166.1,244.8
Hercules (2014),2014,72.7,172.1,244.8
After Earth,2013,60.5,183.3,243.8
Daddy's Home,2015,150.4,92.4,242.8
RoboCop (2014),2014,58.6,184.1,242.7
Assassin's Creed,2016,54.6,186.3,240.9
Alien: Covenant,2017,74.3,166.6,240.9
Sully,2016,125.1,115.7,240.8
Resident Evil: Retribution,2012,42.3,197.7,240.0
Planes,2013,90.3,149.0,239.3
Crazy Rich Asians,2018,174.5,64.0,238.5
Gulliver's Travels,2010,42.8,194.6,237.4
Silver Linings Playbook,2012,132.1,104.3,236.4
