title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
A Nightmare on Elm Street (2010),2010,63.1,52.6,115.7
Pitch Perfect,2012,65.0,50.3,115.3
The Monkey King 3,2018,0.187,114.9,115.087
Dear John,2010,80.0,35.0,115.0
The Iron Lady,2011,30.0,84.9,114.9
Finding Mr. Right 2,2016,0.0,114.7,114.7
Office Christmas Party,2016,54.8,59.7,114.5
Hope Springs,2012,63.5,50.7,114.2
Seventh Son,2015,17.2,97.0,114.2
The Dark Tower,2017,50.7,62.5,113.2
Insidious Chapter 3,2015,52.2,60.8,113.0
Cats & Dogs: The Revenge of Kitty Galore,2010,43.6,68.9,112.5
Tooth Fairy,2010,60.0,52.4,112.4
How to Be Single,2016,46.8,65.5,112.3
The Admiral: Roaring Currents,2014,2.6,109.6,112.2
The Purge: Anarchy,2014,72.0,40.0,112.0
Get Hard,2015,90.4,21.4,111.8
Free Birds,2013,55.8,54.6,110.4
Moneyball,2011,75.6,34.6,110.2
10 Cloverfield Lane,2016,72.1,38.1,110.2
The 5th Wave,2016,34.9,75.0,109.9
The Man From U.N.C.L.E.,2015,45.4,64.4,109.8
Buddies in India,2017,0.293,109.3,109.593
The Boxtrolls,2014,50.8,58.4,109.2
Sanctum,2011,23.2,85.4,108.6
Neighbors 2: Sorority Rising,2016,55.5,52.6,108.1
Paul Blart: Mall Cop 2,2015,71.0,36.6,107.6
Horrible Bosses 2,2014,54.4,53.2,107.6
ParaNorman,2012,56.0,51.1,107.1
Shaun the Sheep Movie,2015,19.4,86.8,106.2
Life as We Know It,2010,53.4,52.3,105.7
First Man,2018,44.9,60.8,105.7
Gangster Squad,2013,46.0,59.2,105.2
Hereafter,2010,32.7,72.5,105.2
Sisters,2015,87.0,18.0,105.0
The Campaign,2012,86.9,18.0,104.9
Vacation,2015,58.9,46.0,104.9
The Girl with the Dragon Tattoo,2010,10.1,94.3,104.4
Let the Bullets Fly,2012,0.063,104.3,104.363
Ouija,2014,50.9,52.7,103.6
Leap!,2017,21.9,81.4,103.3
Birdman,2014,42.3,60.9,103.2
Cold War 2,2016,0.561,102.6,103.161
Night School (2018),2018,77.3,25.8,103.1
Jigsaw,2017,38.1,64.9,103.0
Transcendence,2014,23.0,80.0,103.0
Love and Other Drugs,2010,32.4,70.5,102.9
Star Wars: Episode I - The Phantom Menace (in 3D),2012,43.5,59.3,102.8
Project X,2012,54.7,48.0,102.7
Railroad Tigers,2017,0.218,102.0,102.218
Chappie,2015,31.6,70.5,102.1
The Devil Inside,2012,53.3,48.5,101.8
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,67.0,34.4,101.4
Heaven is for Real,2014,91.4,9.9,101.3
Joy,2015,56.5,44.7,101.2
Tammy,2014,84.5,16.0,100.5
Life (2017),2017,30.2,70.3,100.5
P.K.,2014,10.6,89.8,100.4
Aftershock (Tangshan Dadizhen),2010,0.063,100.2,100.263
Philomena,2013,37.7,62.4,100.1
Atomic Blonde,2017,51.7,48.3,100.0
Black Mass,2015,62.6,37.2,99.8
The Book of Life (2014),2014,50.2,49.6,99.8
The Lucky One,2012,60.5,38.9,99.4
Instructions Not Included,2013,44.5,54.6,99.1
Justin Bieber: Never Say Never,2011,73.0,26.0,99.0
Devil and Angel (E Gun Tian Shi),2015,0.131,98.5,98.631
The Visit,2015,65.2,33.2,98.4
Riddick,2013,42.0,56.3,98.3
Spotlight,2015,45.1,53.2,98.3
Alpha,2018,35.9,62.3,98.2
Killers,2010,47.1,51.1,98.2
Paul,2011,37.4,60.6,98.0
A Simple Favor,2018,53.5,44.1,97.6
Safe Haven,2013,71.3,26.2,97.5
Evil Dead (2013),2013,54.2,43.3,97.5
The Little Prince,2016,1.3,96.2,97.5
Blue Jasmine,2013,33.4,64.099999,97.499999
Scream 4,2011,38.2,59.0,97.2
Insidious,2011,54.0,43.0,97.0
The Shack,2017,57.4,39.6,97.0
Contraband,2012,66.5,29.7,96.2
Kick-Ass,2010,48.1,48.1,96.2
The Favourite,2018,34.4,61.6,96.0
The Rite,2011,33.0,63.0,96.0
Think Like a Man,2012,91.5,4.5,96.0
Some Like It Hot (Qing Shung),2017,0.1,95.6,95.7
Poltergeist (2015),2015,47.4,48.0,95.4
Dolphin Tale,2011,72.3,23.1,95.4
The Mortal Instruments: City of Bones,2013,31.2,64.2,95.4
Truth or Dare,2018,41.4,53.9,95.3
Green Zone,2010,35.1,59.8,94.9
I Feel Pretty,2018,48.8,45.7,94.5
Dirty Grandpa,2016,35.6,58.5,94.1
Ben-Hur (2016),2016,26.4,67.7,94.1
Blockers,2018,60.3,33.7,94.0
In the Heart of the Sea,2015,25.0,68.9,93.9
The Internship,2013,44.7,48.8,93.5
Money Monster,2016,41.0,52.3,93.3
BlacKkKlansman,2018,49.3,44.0,93.3
Goosebumps 2: Haunted Halloween,2018,46.7,46.6,93.3
Nanny McPhee Returns,2010,29.0,64.2,93.2
Southpaw,2015,52.4,39.5,91.9
Season of the Witch,2011,24.8,66.8,91.6
Get Him to the Greek,2010,61.0,30.3,91.3
Overboard (2018),2018,50.3,40.9,91.2
Paranormal Activity: The Marked Ones,2014,32.5,58.4,90.9
Sherlock Gnomes,2018,43.2,47.1,90.3
Rush (2013),2013,26.9,63.3,90.2
Sucker Punch,2011,36.4,53.4,89.8
Burlesque,2010,39.4,50.1,89.5
The Purge,2013,64.5,24.9,89.4
Red Riding Hood,2011,37.7,51.5,89.2
The Last Song,2010,63.0,26.1,89.1
My Big Fat Greek Wedding 2,2016,59.7,29.2,88.9
The Hundred-Foot Journey,2014,54.2,34.6,88.8
John Wick,2014,43.0,45.7,88.7
Collateral Beauty,2016,31.0,57.5,88.5
The Inbetweeners Movie,2012,0.036,88.0,88.036
Dhoom 3,2013,8.0,80.0,88.0
This Is 40,2012,67.5,20.5,88.0
Deliver Us From Evil,2014,30.6,57.4,88.0
Train to Busan,2016,2.1,85.4,87.5
Tiger Zinda Hai,2017,5.6,81.8,87.4
Sultan,2016,6.2,81.1,87.3
A Million Ways to Die in the West,2014,43.1,44.1,87.2
About Time,2013,15.3,71.8,87.1
Snowpiercer,2014,4.6,82.2,86.8
Dinner for Schmucks,2010,73.0,13.8,86.8
War Dogs,2016,43.0,43.2,86.2
Step Up All In,2014,14.9,71.3,86.2
Pain and Gain,2013,49.9,36.3,86.2
The Second Best Exotic Marigold Hotel,2015,33.1,52.9,86.0
Paper Towns,2015,32.0,53.5,85.5
Spy Kids: All the Time in the World,2011,38.5,47.0,85.5
The Possession,2012,49.1,36.3,85.4
Nerve,2016,38.6,46.7,85.3
Sicario,2015,46.9,38.0,84.9
J. Edgar,2011,37.3,47.6,84.9
Going in Style (2017),2017,45.0,39.9,84.9
Carrie (2013),2013,35.3,49.5,84.8
Robin Hood (2018),2018,30.8,54.0,84.8
The Judge,2014,47.1,37.3,84.4
What to Expect When You're Expecting,2012,41.2,43.2,84.4
Marmaduke,2010,33.6,50.1,83.7
Mortal Engines,2018,16.0,67.7,83.7
The Thieves,2012,0.686,82.8,83.486
Hall Pass,2011,45.1,38.1,83.2
Piranha 3D,2010,25.0,58.2,83.2
Rings,2017,27.8,55.3,83.1
Savages (2012),2012,47.4,35.6,83.0
How Long Will I Love U,2018,0.747,82.1,82.847
"Big Mommas: Like Father, Like Son",2011,37.9,44.8,82.7
Oceans,2010,19.4,63.2,82.6
Hitman: Agent 47,2015,22.5,59.9,82.4
Abduction,2011,28.1,54.0,82.1
Ouija: Origin of Evil,2016,35.1,46.6,81.7
A Taxi Driver,2017,1.5,80.1,81.6
Frankenweenie,2012,35.3,46.2,81.5
Act of Valor,2012,70.0,11.3,81.3
Edge of Darkness,2010,43.3,37.8,81.1
Underworld: Blood Wars,2017,30.4,50.7,81.1
Masquerade (2012),2012,0.923,79.8,80.723
Vampires Suck,2010,36.7,43.9,80.6
"Tinker, Tailor, Soldier, Spy",2011,24.1,56.5,80.6
Den of Thieves,2018,44.9,35.6,80.5
Muppets Most Wanted,2014,51.2,29.2,80.4
The Wedding Ringer,2015,64.5,15.3,79.8
Hereditary,2018,44.1,35.3,79.4
Letters to Juliet,2010,53.0,26.1,79.1
Lady Bird,2017,49.0,30.0,79.0
Manchester by the Sea,2016,47.7,31.3,79.0
Paranormal Activity: The Ghost Dimension,2015,18.3,60.6,78.9
The Boss,2016,63.3,15.6,78.9
If I Stay,2014,50.5,28.4,78.9
Scary Movie 5,2013,32.0,46.4,78.4
The Family (2013),2013,36.9,41.5,78.4
R.I.P.D.,2013,33.6,44.7,78.3
Priest,2011,29.1,49.2,78.3
Tag,2018,54.7,23.4,78.1
Shin Godzilla,2016,1.9,76.0,77.9
Tiny Times,2013,0.0235,77.7,77.7235
Sinister,2012,48.1,29.6,77.7
The Back-Up Plan,2010,37.5,40.0,77.5
The Grey,2012,51.6,25.7,77.3
Diary of a Wimpy Kid: Dog Days,2012,49.0,28.1,77.1
Mike and Dave Need Wedding Dates,2016,46.0,31.1,77.1
The Book Thief,2013,21.5,55.1,76.6
Drive (2011),2011,35.1,41.1,76.2
The Mechanic,2011,29.1,47.0,76.1
If You Are the One 2 (Fei Cheng Wu Rao II),2010,0.427,75.6,76.027
The Ides of March,2011,41.0,35.0,76.0
Widows,2018,42.4,33.6,76.0
Vice,2018,47.8,28.2,76.0
Sicario: Day of the Soldado,2018,50.1,25.8,75.9
Diary of a Wimpy Kid,2010,64.0,11.7,75.7
The Change-Up,2011,37.1,38.4,75.5
Searching,2018,26.0,49.4,75.4
The Spy Who Dumped Me,2018,33.6,41.8,75.4
Easy A,2010,58.4,16.6,75.0
The Lincoln Lawyer,2011,58.0,17.0,75.0
Boo! A Madea Halloween,2016,73.2,1.6,74.8
Crimson Peak,2015,31.1,43.6,74.7
Escape From Planet Earth,2013,57.0,17.6,74.6
August: Osage County,2013,37.7,36.5,74.2
Miracles from Heaven,2016,61.7,12.2,73.9
Hubble 3D,2010,52.4,21.5,73.9
To Rome with Love,2012,16.7,56.6,73.3
Here Comes the Boom,2012,45.3,27.8,73.1
The Best Man Holiday,2013,70.5,2.3,72.8
The Transporter Refueled,2015,16.0,56.6,72.6
Diary of a Wimpy Kid: Rodrick Rules,2011,52.7,19.7,72.4
Second Act,2018,39.3,33.0,72.3
Young Detective Dee: Rise of the Sea Dragon,2013,0.0878,72.2,72.2878
Larry Crowne,2011,35.6,36.4,72.0
Run All Night,2015,26.5,45.2,71.7
Sanju,2018,7.9,63.6,71.5
"I, Frankenstein",2014,19.1,52.1,71.2
The Counselor,2013,17.0,54.0,71.0
I Am Not Madame Bovary,2016,0.437,70.4,70.837
The Attorney,2014,0.557,70.0,70.557
Think Like a Man Too,2014,65.2,5.0,70.2
Kubo and the Two Strings,2016,48.0,21.9,69.9
The Dilemma,2011,48.5,21.2,69.7
13 Hours: The Secret Soldiers of Benghazi,2016,52.9,16.6,69.5
Finding Nemo (3D),2012,41.1,28.2,69.3
Takers,2010,57.7,11.3,69.0
Brick Mansions,2014,20.4,48.5,68.9
Anna Karenina,2012,12.8,56.1,68.9
Tales from Earthsea,2010,0.0485,68.6,68.6485
One Direction: This is Us,2013,28.9,39.7,68.6
Book Club,2018,68.6,0.0,68.6
The Call,2013,51.9,16.7,68.6
The Watch,2012,35.4,32.9,68.3
Moonrise Kingdom,2012,45.5,22.8,68.3
Stalingrad (2014),2014,1.0,67.099999,68.099999
Legion (2010),2010,40.2,27.8,68.0
The American,2010,35.6,32.299999,67.899999
War Room,2015,67.8,0.0,67.8
Son of God,2014,59.7,8.1,67.8
The Last Exorcism,2010,41.0,26.7,67.7
Jersey Boys,2014,47.0,20.6,67.6
12 Strong,2018,45.8,21.6,67.4
The Next Three Days,2010,21.1,46.3,67.4
American Assassin,2017,36.2,31.0,67.2
The Girl Who Played with Fire,2010,7.6,59.5,67.1
The Giver,2014,45.1,21.9,67.0
Tyler Perry's Madea's Witness Protection,2012,65.7,1.2,66.9
Selma,2014,52.1,14.7,66.8
Skyline,2010,21.4,45.4,66.8
The Cabin in the Woods,2012,42.1,24.4,66.5
"Love, Simon",2018,40.8,25.5,66.3
Mile 22,2018,36.1,30.2,66.3
One Piece Film: Gold,2017,0.424,65.8,66.224
Life of the Party,2018,53.1,12.8,65.9
The Age of Adaline,2015,42.6,23.0,65.6
Victoria and Abdul,2017,22.2,43.2,65.4
The Nut Job 2: Nutty by Nature,2017,28.4,36.8,65.2
Moonlight (2016),2016,27.9,37.2,65.1
God's Not Dead,2014,60.8,3.9,64.7
The Darkest Hour,2011,21.4,43.2,64.6
Hot Tub Time Machine,2010,50.3,14.3,64.6
Monster Trucks,2017,33.4,31.1,64.5
Fences,2016,57.7,6.7,64.4
Thunder and the House of Magic!,2014,0.0041,64.2,64.2041
The Danish Girl,2015,11.1,53.1,64.2
The Boy (2016),2016,35.8,28.4,64.2
Isle Of Dogs,2018,32.0,32.2,64.2
The Grandmaster,2013,6.6,57.5,64.1
Unfriended,2015,32.5,31.6,64.1
Hanna,2011,40.3,23.5,63.8
"Hail, Caesar!",2016,30.5,33.1,63.6
Footloose (2011),2011,51.8,11.7,63.5
Begin Again,2014,16.2,47.3,63.5
Side Effects (2013),2013,32.2,31.2,63.4
The Host (2013),2013,26.6,36.7,63.3
Elite Squad: The Enemy Within,2011,0.1,62.9,63.0
The Star,2017,40.9,22.0,62.9
The Longest Ride,2015,37.4,25.5,62.9
The Mountain Between Us,2017,30.3,32.5,62.8
The Nice Guys,2016,36.3,26.5,62.8
Runner Runner,2013,19.3,43.4,62.7
Devil,2010,33.6,29.1,62.7
Brooklyn,2015,38.3,23.8,62.1
Beauty and the Beast (3D),2012,47.6,14.4,62.0
Dragon Ball Z: Resurrection 'F',2015,8.0,53.8,61.8
How to be a Latin Lover,2017,32.1,29.7,61.8
"Everything, Everything",2017,34.1,27.5,61.6
Woman in Gold,2015,33.299999,28.3,61.599999
Krampus,2015,42.7,18.8,61.5
The Legend of Hercules,2014,18.8,42.4,61.2
The Walk,2015,10.1,51.0,61.1
From Up on Poppy Hill,2013,1.0,60.0,61.0
Colombiana,2011,36.7,24.3,61.0
Snatched,2017,45.9,15.0,60.9
Kick-Ass 2,2013,28.8,32.0,60.8
127 Hours,2010,18.3,42.4,60.7
Tyler Perry's Why Did I Get Married Too?,2010,60.1,0.578,60.678
Evangelion: 3.0 You Can (Not) Redo,2014,0.175,60.3,60.475
My Little Pony: The Movie,2017,21.9,38.4,60.3
Secretariat,2010,59.7,0.537,60.237
The Ghost Writer,2010,15.5,44.7,60.2
The Perfect Guy,2015,57.0,3.2,60.2
Beautiful Creatures (2013),2013,19.5,40.6,60.1
A Haunted House,2013,40.0,20.1,60.1
Something Borrowed,2011,39.0,21.1,60.1
Morning Glory,2010,31.0,29.0,60.0
Adrift,2018,31.4,28.5,59.9
Quartet,2013,18.4,41.1,59.5
Rock of Ages,2012,38.5,20.9,59.4
One Day,2011,13.8,45.5,59.3
Molly's Game,2017,28.8,30.5,59.3
The Gift (2015),2015,43.8,15.2,59.0
Beginning of the Great Revival,2011,0.151,58.2,58.351
L.O.R.D: Legend of Ravaging Dynasties,2016,0.35,57.7,58.05
Dolphin Tale 2,2014,42.0,15.8,57.8
Nine Lives (2016),2016,19.7,38.1,57.8
That's My Boy,2012,36.9,20.8,57.7
The 15:17 to Paris,2018,36.3,20.8,57.1
All the Money in the World,2017,25.1,31.9,57.0
Zoolander 2,2016,28.8,27.9,56.7
Killer Elite,2011,25.1,31.3,56.4
The Big Sick,2017,42.9,13.5,56.4
The Odd Life of Timothy Green,2012,51.9,4.2,56.1
Remember Me,2010,19.1,37.0,56.1
Confidential Assignment,2017,0.476,55.5,55.976
Cop Out,2010,44.9,10.7,55.6
Dallas Buyers Club,2013,27.3,27.9,55.2
Extremely Loud & Incredibly Close,2011,31.8,23.4,55.2
Barbershop: The Next Cut,2016,54.0,1.0,55.0
Downsizing,2017,24.4,30.6,55.0
The Crazies,2010,39.1,15.7,54.8
St. Vincent,2014,44.1,10.7,54.8
The Three Stooges,2012,44.3,10.5,54.8
Early Man,2018,8.3,46.4,54.7
The Face Reader,2013,0.516,54.1,54.616
No Escape,2015,27.3,27.1,54.4
The Tree of Life,2011,13.3,41.0,54.3
No Good Deed (2014),2014,52.5,1.8,54.3
Tyler Perry's Madea's Big Happy Family,2011,53.3,0.816,54.116
"I, Tonya",2017,30.0,23.9,53.9
The Five-Year Engagement,2012,28.8,25.1,53.9
Peppermint,2018,35.4,18.4,53.8
Lawless,2012,37.4,16.3,53.7
Tyler Perry's A Madea Christmas,2013,52.5,0.853,53.353
Tyler Perry's Temptation: Confessions of a Marriage Counselor,2013,52.0,1.2,53.2
A Walk Among the Tombstones,2014,26.3,26.9,53.2
From Paris with Love,2010,24.1,28.7,52.8
Sinister 2,2015,27.7,25.1,52.8
Prem Ratan Dhan Payo,2015,4.4,48.2,52.6
3 Days to Kill,2014,30.7,21.9,52.6
Wild (2014),2014,37.9,14.6,52.5
The Boy Next Door,2015,35.4,17.0,52.4
Silent Hill: Revelation 3D,2012,17.5,34.8,52.3
The Night Before,2015,43.0,9.3,52.3
The Finest Hours,2016,27.6,24.5,52.1
Teen Titans Go! To The Movies,2018,29.8,22.3,52.1
Slender Man,2018,30.6,21.2,51.8
Detective Dee and the Mystery of the Phantom Flame,2011,0.46,51.3,51.76
Hot Pursuit,2015,34.6,17.1,51.7
Master,2016,0.597,51.0,51.597
Daybreakers,2010,30.1,21.3,51.4
Breaking In (2018),2018,46.8,4.6,51.4
The 100-Year Old Man Who Climbed Out the Window and Disappeared,2015,0.944,50.2,51.144
Magic in the Moonlight,2014,10.5,40.5,51.0
Patriots Day,2016,31.9,18.7,50.6
Alpha and Omega,2010,25.1,25.4,50.5
Once Upon a Deadpool,2018,6.1,44.4,50.5
The Himalayas,2015,0.697,49.8,50.497
Dragon Ball Z: Battle of Gods,2014,2.6,47.8,50.4
Red Tails,2012,49.9,0.489,50.389
"Monsters, Inc. (3D)",2012,34.0,16.2,50.2
Delivery Man,2013,30.7,19.3,50.0
